129	Louisiana State University-Baton Rouge 	Baton Rouge	 LA
129	Ohio University 	Athens	 OH
129	University of Cincinnati 	Cincinnati	 OH
129	University of Kentucky 	Lexington	 KY
129	University of Utah 	Salt Lake City	 UT
135	Hofstra University 	Hempstead	 NY
135	New School 	New York	 NY
135	University of Arkansas 	Fayetteville	 AR
138	George Mason University 	Fairfax	 VA
138	Missouri University of Science & Technology 	Rolla	 MO
138	Oregon State University 	Corvallis	 OR
138	Washington State University 	Pullman	 WA
142	Illinois State University 	Normal	 IL
142	Kansas State University 	Manhattan	 KS
142	St. John Fisher College 	Rochester	 NY
145	Howard University 	Washington	 DC
145	Oklahoma State University 	Stillwater	 OK
145	St. John's University 	Queens	 NY
145	University of Texas-Dallas 	Richardson	 TX
149	Adelphi University 	Garden City	 NY
149	New Jersey Institute of Technology 	Newark	 NJ
149	San Diego State University 	San Diego	 CA
149	University of Alabama-Birmingham 	Birmingham	 AL
149	University of Illinois-Chicago 	Chicago	 IL
149	University of Maryland-Baltimore County 	Baltimore	 MD
149	University of Mississippi 	University	 MS
156	Maryville University of St. Louis 	St Louis	 MO
156	Mississippi State University 	Mississippi State	 MS
156	Texas Tech University 	Lubbock	 TX
156	University of Massachusetts-Lowell 	Lowell	 MA
156	Virginia Commonwealth University 	Richmond	 VA
161	Biola University 	La Mirada	 CA
161	University of Louisville 	Louisville	 KY
161	University of Rhode Island 	Kingston	 RI
161	University of South Florida 	Tampa	 FL
161	University of Wyoming 	Laramie	 WY
166	University of Idaho 	Moscow	 ID
166	University of La Verne 	La Verne	 CA
168	Andrews University 	Berrien Springs	 MI
168	University of Hawaii-Manoa 	Honolulu	 HI
168	University of North Dakota 	Grand Forks	 ND
168	University of South Dakota 	Vermillion	 SD
168	West Virginia University 	Morgantown	 WV
173	Azusa Pacific University 	Azusa	 CA
173	Ball State University 	Muncie	 IN
173	Bowling Green State University 	Bowling Green	 OH
173	Florida Institute of Technology 	Melbourne	 FL
173	Pace University 	New York	 NY
173	University of Central Florida 	Orlando	 FL
173	University of Maine 	Orono	 ME
173	Western Michigan University 	Kalamazoo	 MI
181	Edgewood College 	Madison	 WI
181	Immaculata University 	Immaculata	 PA
181	North Dakota State University 	Fargo	 ND
181	South Dakota State University 	Brookings	 SD
181	Spalding University 1	Louisville	 KY
181	St. Mary's University of Minnesota 	Winona	 MN
181	University of Alabama-Huntsville 	Huntsville	 AL
181	University of North Carolina-Greensboro 	Greensboro	 NC
189	Southern Illinois University-Carbondale 	Carbondale	 IL
189	University of Houston 	Houston	 TX
189	University of Missouri-Kansas City 	Kansas City	 MO
189	University of New Mexico 	Albuquerque	 NM
189	Widener University 	Chester	 PA
194	Central Michigan University 	Mount Pleasant	 MI
194	Indiana University - Purdue University - Indianapolis 	Indianapolis	 IN
194	Kent State University 	Kent	 OH
194	Northern Illinois University 	DeKalb	 IL
194	University of Montana 	Missoula	 MT
194	University of Nevada-Reno 	Reno	 NV
194	Utah State University 	Logan	 UT
201	Louisiana Tech University 	Ruston	 LA
